E yu mbena ka'. E fúú efa rkwe aèmboè e m laèa naè. Vúè neè yá mbe dïì' ce yi gúèú yi mú noêñ.	He is not here, for he has risen, just like he said. Come, see the place where the Lord was lying.
Ka' yi m ba wa'a, ñkoosimnse Nyúè aè m caèa ñger, e ker koñ seèe magoèr.	But God, being rich in mercy, for his great love with which he loved us,
Weèe be roèo máè, yá máè ka', njobeè' aède' weèe vú faèdïì' m be ba ka'.”	"You will seek me, and won't find me; and where I am, you can't come."""
Jisoès aè laa neè woweèe enáê, “Duè neè aè bto' wááwá fe'shi Nsuñ Mboèñmboñ neè ñwáè wááwá.	"He said to them, ""Go into all the world, and preach the Good News to the whole creation."
E yu ñwáè ce a m geèe tañshïì aègho ená a bo foèosi seèe yïìseèe buu bbebep. A m ku gee wa'a a seâe tu caè' ka', aè m ba foñ aètu buu bbebep beèe wááwá.	And he is the atoning sacrifice for our sins, and not for ours only, but also for the whole world.
Jisoès aè waa tatap aè nfeè' anaè, a kwe.	Jesus cried out with a loud voice, and gave up the spirit.
Wer à dù a baʼ soso a yuʼ nè wer btùʼ.	We arrived there and heard ourselves.
Ñwaè' ca aè sañ máâ Joân neè bcor saèambaê, ce vi yu aè ñgoâñ Ásïìyaè. M ce loo máná Nyúè túr ntee boèñboñ neè weèe ker fa weèe cumúnyañ. Ku ba ye ce e yu seè'ni na, aè ker ba Nyúè ce e m ba, aè ku ker ba ye ce e be keè vúè. Buu ca aè loè foñ ese Byú' saèambaê, ce vi táá kuèntombïì neè yi kaèbaèraè'.	John, to the seven assemblies that are in Asia: Grace to you and peace, from God, who is and who was and who is to come; and from the seven Spirits who are before his throne;
E ke gèe zhì buu àwàa sê.	He does his things very carelessly.
Fa kèr waa mbekì kaʼ.	Donʼt shout aloud again.
Ŋwɛ̀ anà à ba vʉ a dû.	The man came and went away.
Ŋwɛɛ Lùu [ŋwɛ̄ː lùː] cn 7.	month of November.
Ñkaè' yi ka' mïì, woweèe a natïì a ce kúti aè laè', Jisoès aè cu yi mbenjïì aè rla' Jáèrusaláèm. Yïì ta ba yïì ma a riñ ka'.	and when they had fulfilled the days, as they were returning, the boy Jesus stayed behind in Jerusalem. Joseph and his mother didn't know it,
Woweèe a ka' ce báèáñger aèmboè ca, beèe a m baa a nyáá, a táá fa waâp geñ. Bcáè' ce beèe anaè a m maè' vi m ce laè'ñger seê.	It happened, while they were greatly perplexed about this, behold, two men stood by them in dazzling clothing.
Njeñwáè moè' ce nyúèrkaè' aè m niñ njep muu yïì, aè m yu' ená Jisoès yu aèfo, a vúê, a gwe njep yeâ tïìi.	For a woman, whose little daughter had an unclean spirit, having heard of him, came and fell down at his feet.
E ghááte aè rjaè' beèe ce rmoèoshïì li vúè neè woweèe njobeè' rmoèoshïì li m vúè neè ye ye, e riñ ñgá' efa rmoèoshïì foñ.	For in that he himself has suffered being tempted, he is able to help those who are tempted.
Muu Ñwáè be kuè kwe aèmboè yi m ba aè rba, geewa'a, ndoèo be co' ñwáè ce e be fyeèni ye.”	"The Son of Man indeed goes, as it has been determined, but woe to that man through whom he is betrayed!"""
Nyúè ye ye aè koèñ ená beèe ce a be loè koni yuu ce e m kaè' neè woweèe naè, a riñ ghup ená e be kupse yuu ce e m laèa ka'. A mbuèu ce e m kaèa aè li rlii.	In this way God, being determined to show more abundantly to the heirs of the promise the immutability of his counsel, interposed with an oath;
Woweèe a m laèa ená a woweèe a cu aè mú nfeè' moè'. E kanïì.	When they asked him to stay with them a longer time, he declined;
Ku báti nfeè' múcaèr tá beèe enjep ñgoèñ na a ker yá máè ka'. Geewa'a, weèe be yá máè. AÈ ka' ba njobeè' m cu nteèe, baná weèe be cu bteèe foñ.	Yet a little while, and the world will see me no more; but you will see me. Because I live, you will live also.
E ce gɛŋge nè ntʉŋ mdip.	He is moving and dangling with a pot of water.
Ñwáè aè ka' loo yuu ese wáè, aè fa ye yuu anaè. Ñwáè aè ka' koo yo yuu, aè fa keèr laèa ená ñgaèñ kúsi neè wáè ka'.	Give to everyone who asks you, and don't ask him who takes away your goods to give them back again.
Wèr be kù kèʼ caar tɛ e vʉ̂.	We will just wait until he comes.
Wɛ̀ koŋ à rlɛ̀ àmbommoo a?	Do you want to keep it on your own?
Nyúè aè geèe ená mbañruèñwáè ce e yu ñwáè rbyemïì ka' koni bghoènïì ese ye njo' ñgwa yïì ce e yu ñwáè rbyemïì. E ker gee foñ ená njeñwáè ce e yu ñwáè rbyemïì ka' koni bghoènïì ese ye njo' nduu yïì ce e yu ñwáè rbyemïì. Yi ka' tá baè ba wa' ka', boo wap aè ba ba boo bbebep, geewa'a, woweèe a yu brara.	For the unbelieving husband is sanctified in the wife, and the unbelieving wife is sanctified in the husband. Otherwise your children would be unclean, but now they are holy.
M ce suñ weèe neè mini-ñwáè ená be keèe ba aè noâñ mnsa' tá ñgá' aè rla' Sodoèm ba Goèmoraè ba aèndeèe neè ñgá' aè rla' anaè.	Most certainly I tell you, it will be more tolerable for the land of Sodom and Gomorrah in the day of judgment than for that city.
Njáèá mmbañruè ce a bo' bbyeèñge na a baèa yuu ce yi yu mini aèmboè Jánïìs ba Jámbráès a m geèe neè Musïìs naè. Wap mntee vi yu bsii, lap rbyemïì li ba mini ka'.	Even as Jannes and Jambres opposed Moses, so do these also oppose the truth; men corrupted in mind, who concerning the faith, are rejected.
Jus a m ko'ndoñ neè woweèe, a du a yá ñgaâa bsaèrbuu mo' efa múè ñgaâa fa ñgá', woweèe a baashïì beèe, beèe anaè a ká' ñgá' aè múè la'. A ka' káè' ñgá', a cañ a du mbe ndaèp mbe Jasïìn aè rkoo Pol ba Silaès, fúr woweèe fa neè beèe.	But the unpersuaded Jews took along some wicked men from the marketplace, and gathering a crowd, set the city in an uproar. Assaulting the house of Jason, they sought to bring them out to the people.
Jisoès aè ka' yá lap rbyemïì, a laa neè ñwáè yañ anaè enáê, “Ñkaraè, máè foèosi wáè efa yoè buu bbebep.”	"Seeing their faith, he said to him, ""Man, your sins are forgiven you."""
nan	to the only wise God, through Jesus Christ, to whom be the glory forever! Amen.
Ñgúè buu ce e m gweèñger yi ba mbe nshe yïû mboèñmboñ naè táá aètu beèe ce a yu' blaâa Nyúè, lá njep ntee boèñboñ seê, neè mini-ñwáè, ku', táá tatap, gee ñgúè.	That in the good ground, these are such as in an honest and good heart, having heard the word, hold it tightly, and bring forth fruit with patience.
Weèe aè m káè' neè Yú' Nyúè, a ce taè' mïìsi ba aè ye ñger njoká? Weèe yu blúr wa' njoká?	Are you so foolish? Having begun in the Spirit, are you now completed in the flesh?
Woweèe a ba' a cu aè rla' anaè, nfeè' rbi aè gháá.	It happened, while they were there, that the day had come that she should give birth.
A mbuèu ce wáè ka' tuu beèe ená a vú ká' máè, máè laa yuu mo' ka', a ku nati a ce vúè. M ce bipshi neè wáè ená wáè tuu beèe ená m vú gee ká lá.”	"Therefore also I came without complaint when I was sent for. I ask therefore, why did you send for me?"""
Yi ka' ba wa'a máè laa mánáê, ‘Tata Nyúè, a máè na. Máè tami nyor aè rgeèe buu wááwá ce wáè koèñ ená m geêe, aèmboè a sañ mbe yo ñwaè' mncir.’ ”	"Then I said, 'Behold, I have come (in the scroll of the book it is written of me) to do your will, O God.'"""
Buu wááwá ce beèe a geèe ce vi yu yáánïì ka', yu buu bbebep. Geewa'a, yuu bebep mo' yi yu aègho ce aède' yi gee ñwáè kwe ka'.	All unrighteousness is sin, and there is a sin not leading to death.
Jisoès aè ka' kuè yu' yuu ce yi koni, a loâ faèdïì' ce e m ba, a niñ mbe keñ, a du faè dïì' mo' ce ñwáè moè' aè m ker ba aèfo caa efa ye ka'. Beèe a ka' yu', a fúúse efa mla' wááwá, a jár neè mkuèu, a du a yeâ mbuèu.	Now when Jesus heard this, he withdrew from there in a boat, to a deserted place apart. When the multitudes heard it, they followed him on foot from the cities.
M ce laèa aèmbo ñgeâe bkwaèa tá yuu ce m ce laèa yi bo ba rara njobeè' yi yu tatap neè weèe aè rrïìñ buu ca neè bfee vïû ñwáè. AÈ m ba entombïì weèe aè fa weêe mnyor neè buu bbebep, a ce geèe ba bsaèrbuu. Baná weèe fa weêe mnyor seè'ni na ba neè ñgeâe yáánïì, tá weèe bo ba beèe Nyúè ce weèe yu brara.	I speak in human terms because of the weakness of your flesh, for as you presented your members as servants to uncleanness and to wickedness upon wickedness, even so now present your members as servants to righteousness for sanctification.
Lòr buu àtɛ̀r.	Take things easy.
E ke koèñ aè rjaè' beèe tá woweèe a bo rïìñ yuu ce yi yu mini.	who desires all people to be saved and come to full knowledge of the truth.
A be yoèñshi ye foñ njobeè' weèe yu mmbo mtoo neè woweèe, ker ba neè beèe wááwá.	while they themselves also, with supplication on your behalf, yearn for you by reason of the exceeding grace of God in you.
Rkoèñnïû neè Nyúè li yu ená seèe gee buu ce e ce laèa. Buu ce e ce laèa vi gha' seèe aè rgeèe ka',	For this is the love of God, that we keep his commandments. His commandments are not grievous.
Sèe du ghanì njobèʼ a tòo fòo.	Let us hunt because they have burnt the bush.
E lòr mbàa embenjì.	She took a loan without consulting me.
Geèe neè buu wááwá ce weèe aè yá'ni ese máè, a koo ese máè, a yu' ese máè, a ker yá ese máè tá Nyúè ce e yu ñwáè cumúnyañ bo ba weèe woweèe.	The things which you learned, received, heard, and saw in me: do these things, and the God of peace will be with you.
Ŋgùŋ à làa e serna.	An ululation has sounded from that end.
Mɛ̀ sɛ̀ njobèʼ muu wàa ce yaŋ sê.	I am very disappointed because my child is very ill.
Yi ba wa'a, baná yi ntee yi gaèp nyor aè buu bbaa. Boo mñgoèñgoè ba bbyeèñge ce a túr bduu ka', a ke kwaè'shi aèmboè buu Tataê. Woweèe a loè lor waêp mntee ba waêp mnyor wááwá fa neè Nyúè. Bbyeèñge ce a túr bduu a loè kwa'shi ba aèmboè buu enjep ñgoèñ na njobeè' woweèe a koèñ ená a gee tá nyor boñ bduu wap.	There is also a difference between a wife and a virgin. The unmarried woman cares about the things of the Lord, that she may be holy both in body and in spirit. But she who is married cares about the things of the world--how she may please her husband.
Wáè rïìñ wáná beâe aè ñgoèñ Áshaè wááwá a maè'shi máè, máè ba mamñgi'. Beèe mo' efa woweèe aè m ba Fugáloès ba ÁÈmogánïìs.	This you know, that all who are in Asia turned away from me; of whom are Phygelus and Hermogenes.
E laa neè woweèe enáê, “Seèe du aè mla' mo' tá m du feè'shi aèfo foñ. A yuu ce máè m vúè aètu mo.”	"He said to them, ""Let's go elsewhere into the next towns, that I may preach there also, because I came out for this reason."""
Jisoès aè ka' yá aèmboè Máèári ce war, keèr yá aèmboè Jus ce a Máèári weèe a m ce vúè naè a ce warse, yi joo ye seê, mluè mi koo ye.	When Jesus therefore saw her weeping, and the Jews weeping who came with her, he groaned in the spirit, and was troubled,
M ce laèa buu ca, aè ke' ku laèa ba máè ka', ncir Nyúè yi laèa wa' foñ.	Do I speak these things according to the ways of men? Or doesn't the law also say the same thing?
Ncïìndap Nyúè anaè aè m duèñshi máè rdip ce li ke fa ryoèñ, li ce laè'ñger aèmboè glaês. Rdip anaè li m ce fúú enje kaèbaèraè' ce túr Nyúè ba muu njeèe.	He showed me a river of water of life, clear as crystal, proceeding out of the throne of God and of the Lamb,
Woweèe a m ku yu' ba buu ce beèe a m ce laèa aèmboè máè. Beèe a m ce laèa enáê, “Ñwáè ce e m ce fa ñgá' neè seèe naè ce feè'shi seè'ni ba aèmboè rbyemïû neè Jisos Kraêis, ce e m ce koèñ ená li ba ka' naè.”	"but they only heard: ""He who once persecuted us now preaches the faith that he once tried to destroy."""
AÈ ka' ba yi aèmboè boo ñkúú, a be keèe fúr woweèe embo, maè' aè dïì' ce ku ba ba túè'nji, ce beèe a ce warse ce kúr msoèñ aèfo.”	"but the children of the Kingdom will be thrown out into the outer darkness. There will be weeping and gnashing of teeth."""
Woweèe a ká' a ce fa Jisoès ñgá' njobeè' buu ce e m geèe nyúè mmbomntaa.	For this cause the Jews persecuted Jesus, and sought to kill him, because he did these things on the Sabbath.
Muunje moè' ce e m ba ñwáè rfaè' aè yá aèmboè e cu a ce yár mor, e fyá' ye mbe mmïìr, a laa enáê, “Ñwáè ca aè m ba a Jisoès foñ.”	"A certain servant girl saw him as he sat in the light, and looking intently at him, said, ""This man also was with him."""
Mkuu mi waŋger e.	The beans have exploded.
Mbuèu ce wáè ba laèa buu ca neè woweèe yu ená woweèe a bo koèñ beèe. Rkoèñnïì ca li ba ba aè nfeè' ce ñwáè aè ka' túr ntee rara, yi ntee yi ke' ce fa ye ñgá' ka' njobeè' e geèe ñgeâe boèñboñ, a byemi neè mini-ñwáè.	but the goal of this command is love, out of a pure heart and a good conscience and sincere faith;
Cuèu yi ce luèu ye aè ryá weèe, mluè mi ce koo ye njobeè' e rïìñ ená weèe aè yu' yi yañ.	since he longed for you all, and was very troubled, because you had heard that he was sick.
Cena yi ka' mïì, máè yá ncïìndap Nyúè moè' aèmboè e ce suèu embe buèu. E m túr ñger goèr seê. Yïì nyor aè m ce raa, rraa efa yeâ nyor anaè li raa aè ñgoèñ wááwá.	After these things, I saw another angel coming down out of the sky, having great authority. The earth was illuminated with his glory.
“Vúè neè vú yá ñwáè ce e suñ máè buu wááwá ce máè m ce geèe. Seemoè' ñwáè anaè a Kraêis.”	Come, see a man who told me everything that I did. Can this be the Christ?
Yi ka' ba wa'a, weèe aè buu mo' efa buu wááwá ce Yú' Tata Nyúè yi ke fa neè beèe ka', aèmboè weèe cu seè'ni ce keè' nfeè' ce weèe be keè yá Jisos Kraâis na.	so that you come behind in no gift; waiting for the revelation of our Lord Jesus Christ;
Baná seèe yoñshi Nyúè ce e fa seèe dïû' kúú ce aède' ñwáè ci' ka'. Seèe yu'ni neè ye, gú'shi neè ye neè rbonïì-ñwáè aè njáèá njïì ce ye ye koèñ. Seèe wáp ye foñ.	Therefore, receiving a Kingdom that can't be shaken, let us have grace, through which we serve God acceptably, with reverence and awe,
Bkar waê, aèmboè Nyúè aè geèe mkaè'ni ca neè seèe, seèe raasi viseèe btu efa buu wááwá ce vi ce bepsi viseèe mnyor ba viseèe byú'. Seèe ce wáp Nyúè, fa viseèe btu wááwá neè ye, ce gee ñgeâe rara aè buu wááwá.	Having therefore these promises, beloved, let us cleanse ourselves from all defilement of flesh and spirit, perfecting holiness in the fear of God.
M rïìñ máná weèe be loè rïìñ weèr boèñboñ. Yi ka' ba wa'a, máè kwaè'shi máná m be caè'ni weèe entoèmbïì tá weèe bo lu'shi ñkaèraè' baa.	In this confidence, I was determined to come first to you, that you might have a second benefit;
Bèe ce a maʼshi nàʼ à làʼ gòr yu Mbòroro.	Most of those who rear cows in the village are the Bororos.
Ñgaâa ntaa caè a be laèa enáê, “Buu wááwá ce wáè m koèñ naè vi mïì. Yo foèo ba ku' buu ce wáè m túr naè vi mïì. AÈde' aè ker túr buu anaè ka'.”	The fruits which your soul lusted after have been lost to you, and all things that were dainty and sumptuous have perished from you, and you will find them no more at all.
Ñwaè' ca aè sañ máâ nleeñwáè neè njeñwáè ce a ce, ker ba boo vi ce m koèñ neè mini-ñwáè. Ku ba ba máè caè'caè' ce m koèñ weèe ka'. Beèe wááwá ce a rïìñ yuu mini a koèñ weèe foñ,	The elder, to the chosen lady and her children, whom I love in truth; and not I only, but also all those who know the truth;
Jisoès aè ka' rïìñ ená woweèe a m ce de'ñger njobeè' yuu ce e m laèa na, a laa neè woweèe enáê, “Cena yi bep weèe a?	"But Jesus knowing in himself that his disciples murmured at this, said to them, ""Does this cause you to stumble?"
Moè' efa beèe a mmbaa ca ce e m yu' yuu Joân aè m laèa a du aèmbuèu Jisoès foñ naè aè m ba Andruè nfúr Saimún Pitaè.	One of the two who heard John, and followed him, was Andrew, Simon Peter's brother.
Jisoès aè m niñ aè rla' Jáèrikuè a to'ni rla' anaè a ce caèa.	He entered and was passing through Jericho.
Mɛ̀ m dù mbǎa.	I went there.
Rkòŋ tʉʼ rli m sòp ye mbe njì.	Cancer affected him on the back.
Mɛ̀ gèe rfàʼ anà jòr sê.	I did this work very easily.
Muu ca e ke fyɛ̀p sê.	This child is too greedy.
Bbyeèñge foñ a ba yu'ni neè bduu wap, bduu wap mo' a ka' ba ce a byemi blaâa Nyúè ka' tá yap ñgeèe yi bo geèe woweèe tá a byemi ce woweèe a laèa yuu mo' neè woweèe ka',	In the same way, wives, be in subjection to your own husbands; so that, even if any don't obey the Word, they may be won by the behavior of their wives without a word;
Jisoès aè ciisïì neè ye enáê, “Yáê, fa suñ ñwáè ka'. Duè duñshi yoè nyor neè ñwáè tañshi tañshïì embe Ndaèp Nyúè, gee tañshïì ce Musïìs aè m laèa ená ñwáè yañ msaèasïì gee tá beèe a bo rïìñ ená ñwáè anaè aè keè'se naè.”	"Jesus said to him, ""See that you tell nobody, but go, show yourself to the priest, and offer the gift that Moses commanded, as a testimony to them."""
Jisoès aè m suñ woweèe rara enáê, “Lasoèroès aè kwe.	"So Jesus said to them plainly then, ""Lazarus is dead."
A máè cuâu ñka'. Ñwáè ce e ka' caa njïì enjep máè baná ñgaèñ be luèñ efa ñgá'. E be niñ mbo aè nfeè' ce e gwáá, koni yuu ye.	I am the door. If anyone enters in by me, he will be saved, and will go in and go out, and will find pasture.
E be keè duè entombïû neè ye neè njáèá yú' ker ba ñger ce AÈlajaè aè m túr, tá e bo geèe tá btar boo a boo wap weèe a kúti aèbee, geèe tá beèe ce a teèe btu a túr bfee aèmboè beèe ce a yu yáánïì a túr, tá beèe Nyúè a bo tami nyor aè rkoni Tataê.”	"He will go before him in the spirit and power of Elijah, 'to turn the hearts of the fathers to the children,' and the disobedient to the wisdom of the just; to prepare a people prepared for the Lord."""
E m laèa neè woweèe enáê, “Weâe ce duè, ñwáè fa loèr yuu mo' ka', ka' mbaèñ, ka' baèa, ka' bráêd, ka' mbaèa, ka' cáè' áè, ñwáè fa loèr ka'.	"He said to them, ""Take nothing for your journey--neither staffs, nor wallet, nor bread, nor money; neither have two coats apiece."
Geewa'a, m ce sañ nlaâa fi neè weèe ce yi ce duèñshi nyor njep Kraêis, ker ba njep weèe foñ. Yi yu wa'a njobeè' túè'nji ce fa njïì, rraa ce mini li ká' a ce raa.	Again, I write a new commandment to you, which is true in him and in you; because the darkness is passing away, and the true light already shines.
Yuu anà zhi yu fyɛ̀pte.	That thing is airless.
Wáè ka' gee wa' baná aè be ba ñwáè rboâñtu njobeè' woweèe a túr yuu mo' ce aède' a la' wáè aègho ka'. Nyúè be keè laè' wáè aè nfeè' ce beèe ce a yu yáánïì aè bsii Nyúè a be keè fúú efa rkwe.”	"and you will be blessed, because they don't have the resources to repay you. For you will be repaid in the resurrection of the righteous."""
Baná seèe fa ce buumi aèmboè beèe mo' a ce geèe naè ka'. Seèe ce ke'se, tami nyor.	so then let's not sleep, as the rest do, but let's watch and be sober.
Máâ suñ weèe neè mini-ñwáè máná, ñwáè ce e ka' tá koo kúú Nyúè aèmboè muu ñká' ka', aède' e ke niñ mbe dïû' kúú Nyúè anaè ka'.”	"Most certainly I tell you, whoever will not receive the Kingdom of God like a little child, he will in no way enter into it."""
Seèe yoñshi Tata Nyúè ce e yu Taèr neè Jisos Kraâis ce e yu yïìseèe Tataê. Yu ye ce e ghoèni seèe neè buu embe buèu. E ghoèni seèe neè buu ca njobeè' seèe yu beèe Jisos Kraêis.	Blessed be the God and Father of our Lord Jesus Christ, who has blessed us with every spiritual blessing in the heavenly places in Christ;
Ñgaâa mnde' anaè a ku ce koèñ ená woweèe a koni sá' efa buu wááwá. Woweèe a be bo' weèe neè mnde' tá a bo ye sá' efa mnde' anaè. Yu nfeè' njïìsaèp aèmboè Nyúè ce e be sa' mnsa' beèe teni aè tami nyor aè rfa woweèe ñgá' njo' yaèp ndeâe mbembep anaè. Ku báti nfeè' múcaèr tá e misi woweèe nfeseè.	In covetousness they will exploit you with deceptive words: whose sentence now from of old doesn't linger, and their destruction will not slumber.
Baná seèe be laèa seeká? Waè' seèe be laèa seená Nyúè aè m geèe yuu mini ka' a? AÈde' yi ba wa' ka' koo múcaèr.	What shall we say then? Is there unrighteousness with God? May it never be!
Bfúr waê, m ce koèñ máná weèe riñ buu moè' kuu bfee ce Yú' Nyúè yi ke fa neè beèe.	Now concerning spiritual things, brothers, I don't want you to be ignorant.
Atà m̀ ̀ beʼ ŋwàʼ ca.	I am able to read this book.
tá ñwáè ce e ka' byemi neè ye, e bo koni ryoèñ ce nfeseè.	that whoever believes in him should not perish, but have eternal life.
a m bipshi neè Joân enáê, “Wáè ka' tá ba Kraâis anaè ka', ba AÈlajaè ka', ba ñwáè ncep ntuu Nyúè ce Nyúè aè m laèa ená e be tuu naè ka', wáè ka' ce baèptir beèe njoká?”	"They asked him, ""Why then do you baptize, if you are not the Christ, nor Elijah, nor the prophet?"""
Yi ka' ba ená a be koo ñwáè fa aè shañ baná aède' ñgaèñ buu efa rduè shañ ka'. Yi ka' ba ená a be yú ñwáè neè saè' baná a be kuè yú ye ba aègho. AÈmboè yi yu aè njáâá wa'a, baná beèe Nyúè a ba táá tatap, láè ntee ba neè Taèr Nyúè.	If anyone is to go into captivity, he will go into captivity. If anyone is to be killed with the sword, he must be killed. Here is the endurance and the faith of the saints.
Baná weèe ce weèe yu Jus ka' na, weèe ker bii bkïìloè káè beèe ce a ce caèa caèa ka', weèe yu boo ñgaâa nshe weèe beèe Nyúè weèe, a ba beèe embe ndaèp Nyúè.	So then you are no longer strangers and foreigners, but you are fellow citizens with the saints, and of the household of God,
AÈmboè yi yu wa' na, m ce wáp máná Sataèn be jepsi btu ese weèe aèmboè e m loèr vi bkwáèá a bo' Ef aègho naè, tá weèe ker láè ntee njep Jisos Kraêis, fa wee mnyor neè ye ka'.	But I am afraid that somehow, as the serpent deceived Eve in his craftiness, so your minds might be corrupted from the simplicity that is in Christ.
Ryoèñshïì ba mcáp mi ke kuè ce fúú ekuè cuâu mo'sir. Bfúr waê, yi boèñ wa' ka'.	Out of the same mouth comes forth blessing and cursing. My brothers, these things ought not to be so.
Saè' mbyáèráñ aè m fúú eku yeâ cuèu. AÈ m ba saè' ce e be so bto' ce a baèa ye aègho. E be loèr yïì mbaèñ kúú ce a geèe neè bco', sa' woweèe aègho. E be nyáèñ gráâp ce a m ceni naè njep beè'teè ce a ke nyáèñ. Rnyáèñ efa gho li táá aètu ku' rshentee Nyúè ce ñger wááwá yi yu mba yeâ mmboè.	Out of his mouth proceeds a sharp, double-edged sword, that with it he should strike the nations. He will rule them with an iron rod. He treads the winepress of the fierceness of the wrath of God, the Almighty.
E ke ba nètʉʼ ŋgòŋ zhi ce sii.	In the night, places are dark.
Wer ke loo aè nfeè' wááwá ce kuushi weèe ker ce yoèñshi Nyúè njo' weèe.	We always give thanks to God for all of you, mentioning you in our prayers,
Ncǎrkwe e ke ba ncòo rkwe.	Small termites are the sign of death.
Yi ka' ba wa'a, bfúr vi a laa neè ye enáê, “Naètïû aèfa, du aè ñgoâñ Juèdiyaè tá ñgaâa yá'ni yoè buu a bo yá mfaè' ce aè ce geèe na.	"His brothers therefore said to him, ""Depart from here, and go into Judea, that your disciples also may see your works which you do."
AÈmboè weèr ce cu njep ñgoèñ na, rkwe li ce rúèú wer aè nfyeènyú aè nfeè' wááwá njo' Kraêis, tá li ryoèñ li bo yááti nje weâr mnyoèr ce vi be loè kweñger naè.	For we who live are always delivered to death for Jesus' sake, that the life also of Jesus may be revealed in our mortal flesh.
Nyaèa anaè aè m ba nteèe a ker bii nteèe seè'ni ka'. E be fúú enjeèp rwee ce lúèsimbuèu yu aègho ka' naè, tá a lo yú ye tá e kwe dúèdúè. Beèe ce a ce cu njep ñgoèñ na a be yá nyaèa ca, báèáñger seê. Beèe ca yu beèe ce a m sañ map mlii mbe ñwaè' ryoèñ ka', tá ñgoèñ yi ka' keè ba aègho. Woweèe a be báèáñger njobeè' nyaèa ca aè m ba nteèe a ker bii nteèe seè'ni ka, keèr loè kúti nteèe.	The beast that you saw was, and is not; and is about to come up out of the abyss and to go into destruction. Those who dwell on the earth and whose names have not been written in the book of life from the foundation of the world will marvel when they see that the beast was, and is not, and shall be present.
Nyúè aè m loèr nfaèñ mbañruèñwáè a boo njeñwáè aègho, njeñwáè ye ye aè ba ñwáè ce e ke bi mbañruèñwáè. Buu ca wááwá aè m geèe ba Nyúè.	For as woman came from man, so a man also comes through a woman; but all things are from God.
Rfaè' ce tu neè ñgaâa tañshi tañshïì e ke geèe li yu ená e koo buu ce beèe a fa, ker ba buu tañshïì, gee tañshïì aègho. Baná yi m ba boèñboñ ená tu neè ñgaâa tañshi tañshïì ce e táá a seâe btuè mbe buèu naè túr yuu mo' ce ye ye be fa neè Nyúè foñ.	For every high priest is appointed to offer both gifts and sacrifices. Therefore it is necessary that this high priest also have something to offer.
Jisoès aè karsïì nyor, a yá ye, a laa neè ye enáê, “Muu waè, kur ntee, lo rbyemïì li geèe wáè ke'seè.” Njeñwáè anaè aè ku ke'se aè nfeè' anaè.	"But Jesus, turning around and seeing her, said, ""Daughter, cheer up! Your faith has made you well."" And the woman was made well from that hour."
“Yaè Ta aè fa buu wááwá mba máâ mmboè. Ñwáè moè' rïìñ muu caa efa Taèr ka', ñwáè moè' aè rïìñ Taèr caa efa muu ker ba beèe ce muu aè koèñ aè rduèñshi ye neè woweèe ka'.	All things have been delivered to me by my Father. No one knows the Son, except the Father; neither does anyone know the Father, except the Son, and he to whom the Son desires to reveal him.
Weèr aè ka' loâ aè rla' Trowaès, a niñ mbe keñ, a duê, a táá aè dïì' mo' ka', caar a ba' aè rla' Soèmatáráès. Túè' aè ka' raa, weèr aè ba' aè rla' Nïìyapolïìs.	Setting sail therefore from Troas, we made a straight course to Samothrace, and the day following to Neapolis;
Mnoèñ vi m caèa aèñgoo seê, weèr aè be yá rlir nyúè káè mkaèñsïì ka', nteèendúñ aè ku ce caèa tatap seê. Weèr aè riñ ená aède' weèr luñ efa gho ka'.	When neither sun nor stars shone on us for many days, and no small storm pressed on us, all hope that we would be saved was now taken away.
Seèe rïìñ seená aè m ba aè nfeè' ce a m taa Kraâis mbe kïìntaa naè, a m taa njáèá ñwáè ce seèe aè m ba naè mbo foñ tá a bo yú yïìseèe ndeâe mbembep, faè dïì' seèe bo keèr ba bkwaèa neè buu bbebep ka'.	knowing this, that our old man was crucified with him, that the body of sin might be done away with, so that we would no longer be in bondage to sin.
Máè ker yá ncïìndap Nyúè moè' aèmboè e fúú embe Ndaèp Nyúè embe buèu, a túr saâ' ncáncáp mbaè boè foñ.	Another angel came out from the temple which is in heaven. He also had a sharp sickle.
Bfúr waê, baná yuu mo' yi yu ce seèe be kuè geèe, aè ke' ba ená seèe yu'ni neè nyor, cu ba aèmboè e ce koèñ ka'.	So then, brothers, we are debtors, not to the flesh, to live after the flesh.
Buu ca aè ka' mïì wáá, Jisoès ba ñgaâa yá'nïì yïì buu a natïì a du aè ñgoâñ Juèdiyaè, e cu a woweèe aèfo, a baptir beèe.	After these things, Jesus came with his disciples into the land of Judea. He stayed there with them, and baptized.
e yáátïì neè beèe ce a woweèe a m jáâr aè ñgoâñ Galeèleê, a du a ba' aè rla' Jáèrusaláèm naè, aè mnoèñ aèñgoo. Woweèe a ce suñ yïìseèe beèe seè'ni aèmboè ye.	and he was seen for many days by those who came up with him from Galilee to Jerusalem, who are his witnesses to the people.
Woweèe a m ker ce roèo aè rkoo ye, e fúú efa waâp mú a duê.	They sought again to seize him, and he went out of their hand.
AÈde' ñwáè moè' máñnïì buu ca ka', baná ñwáè moè' fa keèr fa ñgá' ka'. Cu neè múnyañ.	Seeing then that these things can't be denied, you ought to be quiet, and to do nothing rash.
E ka' laèa wa'a, a duñshi woweèe mi mmbo ba mi mkuèu.	When he had said this, he showed them his hands and his feet.
